Customer_ID,Cluster
1004,2
1005,2
1009,0
1055,1
1064,2
1077,2
1094,3
1098,1
1117,1
1125,2
1126,3
1133,2
1137,3
1154,2
1161,2
1189,1
1190,2
1197,3
1202,2
1206,1
1224,2
1225,3
1232,1
1235,1
1249,3
1255,2
1260,2
1262,2
1301,2
1302,2
1345,3
1364,1
1384,2
1391,2
1395,2
1404,1
1412,2
1417,3
1419,2
1466,2
1502,1
1504,2
1512,2
1523,3
1536,2
1537,2
1539,2
1559,2
1569,2
1574,1
1580,1
1600,3
1606,3
1635,2
1638,2
1659,3
1663,1
1666,2
1667,2
1671,1
1688,1
1698,0
1699,1
1716,2
1717,2
1728,0
1760,2
1768,1
1769,2
1770,2
1775,3
1784,1
1793,1
1814,3
1823,3
1825,1
1827,2
1830,2
1846,1
1851,1
1853,1
1854,1
1860,2
1863,1
1876,0
1878,2
1918,1
1922,2
1924,1
1928,3
1950,2
1951,1
1953,2
1956,2
1966,3
1980,1
1984,1
1995,2
2015,1
2016,3
2021,1
2028,1
2045,2
2059,3
2060,2
2062,0
2063,2
2065,2
2066,2
2069,2
2077,1
2081,1
2120,1
2122,2
2148,2
2150,3
2154,1
2167,2
2184,0
2191,1
2202,1
2205,3
2214,2
2218,2
2248,1
2252,1
2256,2
2267,3
2276,3
2291,2
2296,3
2306,2
2324,3
2331,1
2342,2
2353,2
2365,0
2409,1
2460,0
2484,1
2495,1
2528,2
2531,0
2540,1
2542,1
2571,2
2581,3
2585,1
2604,3
2605,3
2619,2
2625,1
2633,1
2636,3
2645,3
2646,1
2648,2
2663,3
2664,1
2678,2
2679,1
2685,3
2686,1
2687,1
2693,0
2707,3
2733,1
2734,1
2757,3
2759,1
2761,1
2792,2
2802,1
2810,3
2816,1
2828,2
2838,3
2841,2
2843,3
2852,2
2853,1
2854,2
2865,2
2887,1
2895,2
2899,2
2906,0
2908,3
2917,1
2930,1
2931,2
2959,1
2970,3
2976,1
2986,1
2990,1
2994,2
2997,2
2998,3
3000,3
3026,2
3027,3
3047,1
3048,0
3049,2
3060,1
3062,3
3065,1
3079,2
3082,1
3105,2
3116,1
3125,3
3136,3
3141,3
3143,2
3156,3
3180,1
3190,2
3192,2
3193,2
3200,1
3204,2
3205,1
3219,1
3243,1
3255,1
3327,0
3336,1
3368,1
3371,2
3385,2
3393,2
3427,1
3433,2
3443,3
3454,3
3472,1
3479,2
3482,2
3489,2
3491,2
3502,3
3504,3
3511,2
3539,3
3551,2
3557,3
3558,3
3560,2
3568,2
3590,3
3593,3
3612,2
3635,2
3645,2
3674,2
3681,1
3693,2
3695,1
3703,1
3708,2
3712,3
